0.01072,5.89904,6.95920,0.51169
0.01199,5.30709,7.11022,0.61792
0.00882,14.18812,7.02629,0.49507
0.00809,7.23404,7.19759,0.57858
0.01380,11.43939,6.91404,0.64370
0.00812,5.69207,7.39777,0.56448
0.00975,8.16062,6.94293,0.48712
0.00791,6.97790,7.11018,0.47357
0.00843,10.44805,7.00043,0.46375
0.01454,5.30597,6.85734,0.65292
0.00845,17.79651,7.06653,0.42806
0.00745,13.37267,7.13989,0.40693
0.00827,42.80000,7.00542,0.44304
0.00919,18.40462,6.97350,0.42417
0.00951,12.53191,6.84516,0.44517
0.00777,11.18354,7.09169,0.43754
0.00694,56.96629,7.24677,0.42343
0.00844,23.75333,6.99712,0.39309
0.00773,16.35057,7.15125,0.41206
0.00831,78.66216,6.98814,0.43915
0.00787,9.66286,7.12539,0.50031
0.00846,6.21910,7.05003,0.49259
0.00786,6.20000,7.21487,0.46079
0.00941,5.66825,7.05375,0.55551
0.01631,4.66917,6.74211,0.69278
0.00879,20.89051,6.91183,0.43208
0.00867,22.54902,6.97301,0.46108
0.00961,9.50625,6.93967,0.48642
0.00866,14.88679,7.02128,0.43290
0.00936,10.48295,6.96628,0.48705
0.00914,44.95652,6.88566,0.40944
0.00890,44.51825,6.88814,0.44482
0.00806,13.97126,7.12240,0.46641
0.00858,16.84211,7.00981,0.49987
0.00735,10.73262,7.24864,0.48548
0.01877,10.29344,6.76070,0.62887
0.01098,10.79532,6.78105,0.54252
0.00986,21.73333,6.74431,0.42560
0.00899,27.75591,6.84695,0.40722
0.00830,6.93930,7.36453,0.62562
0.00992,4.68282,6.98609,0.59098
0.00699,8.79439,7.31843,0.51971
0.00815,4.32086,7.10698,0.53747
0.00723,9.38182,7.32395,0.52338
0.00939,3.64873,7.18590,0.67000
0.01052,4.51301,7.05170,0.62285
0.00855,3.90152,7.25810,0.61956
0.00656,16.94944,7.31419,0.45018
0.01009,8.32227,7.05125,0.56071
0.00994,6.61047,6.86447,0.53205
0.00714,24.42857,7.26854,0.48540
0.00843,10.90419,7.02125,0.52417
0.00794,13.92045,7.11273,0.48082
0.00923,62.39344,7.02925,0.55423
0.01492,7.74336,6.91163,0.55194
0.01102,10.66316,6.78804,0.54757
0.01710,13.13568,6.61818,0.61771
0.00890,6.27468,7.12804,0.55622
0.01271,5.96324,6.87153,0.61768
0.01019,14.42157,6.99568,0.47879
0.01004,14.06667,6.83536,0.46123
0.01120,43.71681,6.57673,0.39067
0.00862,28.92025,6.98364,0.41817
0.00893,25.71127,6.94123,0.43185
0.01002,39.43548,6.73234,0.37960
0.01071,15.16547,6.70139,0.46499
0.01013,23.32215,6.84991,0.41251
0.01036,34.07463,6.76852,0.44022
0.01132,21.46774,6.58109,0.50526
0.00932,92.56637,6.76708,0.35618
0.02420,3.46829,6.14535,0.62432
0.02196,3.85294,6.18354,0.59863
0.01740,8.38426,6.52084,0.58297
0.01487,4.24701,6.83053,0.63680
0.01945,19.58871,6.30357,0.60116
0.01991,11.08980,6.37803,0.60564
0.01530,4.62887,6.55730,0.57203
0.01984,7.51724,6.31168,0.58836
0.01464,4.05172,6.53134,0.60508
0.02014,4.17472,6.40709,0.59204
